西元年,民國紀年,PDF頁,原書頁,備註
1893,民前 19 年,1,353,生於浙江吳興小港里
1894,民前 18 年,1,353,
1895,民前 17 年,1,353,
1896,民前 16 年,1,353,
1897,民前 15 年,1,353,
1898,民前 14 年,1,353,
1899,民前 13 年,1,353,
1900,民前 12 年,2,354,
1901,民前 11 年,2,354,
1902,民前 10 年,2,354,
1903,民前 9 年,2,354,
1904,民前 8 年,2,354,
1905,民前 7 年,2,354,
1906,民前 6 年,2,354,
1907,民前 5 年,2,354,
1908,民前 4 年,2,354,
1909,民前 3 年,3,355,
1910,民前 2 年,3,355,
1911,民前 1 年,3,355,
1912,民國元年,4,356,
1913,民國 2 年,4,356,
1914,民國 3 年,4,356,
1915,民國 4 年,5,357,
1916,民國 5 年,5,357,
1917,民國 6 年,6,358,
1918,民國 7 年,6,358,
1919,民國 8 年,7,359,
1920,民國 9 年,7,359,
1921,民國 10 年,8,360,
1922,民國 11 年,8,360,
1923,民國 12 年,9,361,
1924,民國 13 年,9,361,
1925,民國 14 年,9,361,
1926,民國 15 年,10,362,
1927,民國 16 年,11,363,
1928,民國 17 年,12,364,
1929,民國 18 年,13,365,
1930,民國 19 年,13,365,
1931,民國 20 年,14,366,
1932,民國 21 年,15,367,
1933,民國 22 年,17,369,
1934,民國 23 年,19,371,
1935,民國 24 年,21,373,
1936,民國 25 年,21,373,
1937,民國 26 年,22,374,
1938,民國 27 年,25,377,
1939,民國 28 年,27,379,
1940,民國 29 年,28,380,
1941,民國 30 年,29,381,
1942,民國 31 年,30,382,
1943,民國 32 年,31,383,
1944,民國 33 年,32,384,原書年目誤印為「三十三年（1954）」，正確為 1944
1945,民國 34 年,32,384,
1946,民國 35 年,35,387,
1947,民國 36 年,36,388,
1948,民國 37 年,38,390,
1949,民國 38 年,42,394,
1950,民國 39 年,47,399,
1951,民國 40 年,49,401,
1952,民國 41 年,50,402,
1953,民國 42 年,51,403,
1954,民國 43 年,51,403,
1955,民國 44 年,53,405,
1956,民國 45 年,55,407,
1957,民國 46 年,56,408,
1958,民國 47 年,59,411,
1959,民國 48 年,60,412,
1960,民國 49 年,60,412,
1961,民國 50 年,60,412,
1962,民國 51 年,61,413,原書年目誤印為「五十一年（1964）」，正確為 1962
1963,民國 52 年,62,414,本年條目續至原書 417，含逝世、治喪、褒揚令與安葬
