pdf_page,book_page,section,item_id,page_role,verification
1,,前置文字,,書名頁至前言等,區段抽樣
15,,照片頁,,照片與圖說,區段抽樣
26,,照片頁,,照片末頁,區段核對
27,1,目錄,,目次印刷頁一,逐欄核對
28,2,目錄,,目次印刷頁二,逐欄核對
29,3,目錄,,目次印刷頁三,逐欄核對
30,4,目錄,,目次印刷頁四,逐欄核對
31,5,目錄,,目次印刷頁五,逐欄核對
32,6,目錄,,目次印刷頁六,逐欄核對
33,7,目錄,,目次印刷頁七,逐欄核對
34,8,目錄,,目次印刷頁八,逐欄核對
35,9,目錄,,目次印刷頁九,逐欄核對
36,10,目錄,,目次印刷頁十,逐欄核對
37,11,目錄,,目次印刷頁十一,逐欄核對
38,12,目錄,,目次印刷頁十二,逐欄核對
39,13,目錄,,目次印刷頁十三,逐欄核對
40,14,目錄,,目次印刷頁十四,逐欄核對
41,1,壹 文化學術,ZJH-001,篇章起訖,起訖核對
42,2,壹 文化學術,ZJH-002,篇章起頁,原頁核對
43,3,壹 文化學術,ZJH-002;ZJH-003,前篇終頁／後篇起頁,起訖核對
44,4,壹 文化學術,ZJH-003;ZJH-004,前篇終頁／後篇起頁,起訖核對
45,5,壹 文化學術,ZJH-004;ZJH-005,前篇終頁／後篇起頁,起訖核對
46,6,壹 文化學術,ZJH-005;ZJH-006,前篇終頁／後篇起頁,起訖核對
47,7,壹 文化學術,ZJH-006,篇章終頁,起訖核對
48,8,壹 文化學術,ZJH-007,篇章起頁,原頁核對
342,303,參 教育言論／四 法律教育,ZJH-LE-001,篇題與日期；前篇終頁／本篇起頁,起訖核對
343,304,參 教育言論／四 法律教育,ZJH-LE-001,正文起頁,全文逐頁核對
347,308,參 教育言論／四 法律教育,ZJH-LE-001;ZJH-LE-002,前篇終頁／後篇起頁,起訖核對
351,312,參 教育言論／四 法律教育,ZJH-LE-002;ZJH-LE-003,前篇終頁／後篇起頁,起訖核對
355,316,參 教育言論／四 法律教育,ZJH-LE-003;ZJH-LE-004,前篇終頁／後篇起頁,起訖核對
358,319,參 教育言論／四 法律教育,ZJH-LE-004;ZJH-LE-005,前篇終頁／後篇起頁,起訖核對
364,325,參 教育言論／四 法律教育,ZJH-LE-005;ZJH-LE-006,前篇終頁／後篇起頁,起訖核對
369,330,參 教育言論／四 法律教育,ZJH-LE-006,篇章終頁；後接「五 教師節紀念」,起訖核對
