# 原書第 355 頁（PDF 3）。2026-08-24 裁原頁圖核過：印的是「（原名國强，後改名異，以字行），卽為」，GCV 掉右括號。
，以字行，即	，以字行），即
# 2026-08-25 裁原頁圖核過（1908 續、1909、1910、1911 四個年目）。
# 印的是「考取同濟德文醫學校，爲自費生。」，GCV 掉逗號。
考取同濟德文醫學校	考取同濟德文醫學校，
# 印的是「一年級官費生自費生共約」，GCV 把「級」讀成簡體字形又掉「費」。
一年级官生自費生共約	一年級官費生自費生共約
# 印的是「暑後升入二年級、史地動植理化等課」，GCV 掉「動植」。
史地理化等課	史地動植理化等課
# 印的是「德文主任沈德萊(Dr. Schindler)」，人名帶專名號底線，GCV 掉「德文」與「萊」。
均由德人教授。主任沈德	均由德人教授。德文主任沈德萊
# 印的是「實欲謀刺兩江總督張人駿。迨觀第九鎭標統大會操」。
張人騣。治觀	張人駿。迨觀
# 印的是「先生逐潛發起組織」（原書作「逐」），GCV 掉這個字。
羣情憤激。先生潛發	羣情憤激。先生逐潛發
# 印的是「何畏（原名萊生，字思敬）」，人名帶專名號底線，GCV 掉「萊」。
（原名生，字思敬）	（原名萊生，字思敬）
# 印的是「着令兩江總督張人駿查辦」，GCV 掉「着」。
恐，令兩江總督	恐，着令兩江總督
# 印的是「先後收到的各信焚去」，GCV 掉「各」。
先後收到的信焚去	先後收到的各信焚去
# 印的是「有黃伯樵吳本景等二十多人」，人名帶專名號底線，GCV 把「吳」讀成「與」。
有黃伯樵與本景等	有黃伯樵吳本景等
# 印的是「先生乃將大兄交與收取交通銀行股票的官息」，GCV 掉「交」。
將大兄與收取	將大兄交與收取
# 印的是「充作諸人旅費。」，GCV 掉段末句號。
充作諸人旅費	充作諸人旅費。
