# 誤<TAB>正；辨讀把同一片區域讀了兩遍（們字一句）、館藏印邊的髒點被讀成 9；
# 清單編號原書排「1.」「3.」「5.」「6.」，辨讀吞點或錯位；拉丁詞的空格照原頁圖補回。
# 「hinein」「進塵寰」「。今依」皆放大核過原頁圖。
少少了了一一個個「「們們」」字字的的恰恰好好	少了一個「們」字的恰好
poor9,	poor,
1哥德原文	1.哥德原文
3朱先生把	3.朱先生把
弘哥德的	5.哥德的
.6朱先生譯文	6.朱先生譯文
「我譯的是：	我譯的是：
insLebenbinein	ins Leben hinein
譯作「選塵寰」	譯作「進塵寰」
是poor,卽是	是poor，卽是
哥德的derPein	哥德的der Pein
是indirectobject，所以	是indirect object，所以
the3rdcase:thedative	the 3rd case: the dative
是）directobject，所以	是direct object，所以
the4thcase:theaccusative今依	the 4th case: the accusative。今依
ihn變成indirectobject,derPein變成directobject	ihn變成indirect object,der Pein變成direct object
把aufErden	把auf Erden
